,m,s,k
0,-9.3333847617032e-05,3.5222855424147117e-07,1
1,0.10769510567188263,0.011217967261487152,2
2,0.1537905165553093,0.02086836357661836,3
3,0.18638179272413255,0.023198408654051046,4
4,0.22300848633050918,0.02628957768430026,5
5,0.24971262663602828,0.027138953794622958,6
6,0.28394920349121094,0.028492592937626703,7
7,0.30468936145305636,0.026112911162967132,8
8,0.33291764378547667,0.022413861200256405,9
9,0.3557967793941498,0.026546809501091742,10
10,0.3687410056591034,0.03153157898938616,11
11,0.3972539716959,0.02999393209128087,12
12,0.4161145979166031,0.026530710086155256,13
13,0.43575909674167634,0.022857247288453328,14
14,0.44530971109867096,0.025750734903869466,15
15,0.46616465985774996,0.02529176695042771,16
16,0.4830207562446594,0.021290551821351426,17
17,0.49635628223419187,0.029202745198552184,18
18,0.5090971416234971,0.028721623171154797,19
19,0.5314210045337677,0.029886661229632988,20
20,0.5384255737066269,0.026606853468511663,21
21,0.5530475914478302,0.02849937735048156,22
22,0.5625344109535217,0.025408150213863584,23
23,0.5771105599403381,0.023942000414143887,24
24,0.5843789339065552,0.025015522394355737,25
25,0.5978785026073455,0.023431750349839717,26
26,0.6072770774364471,0.0257660025065339,27
27,0.617481347322464,0.025962112144637235,28
28,0.6189495289325714,0.027278385359072378,29
29,0.6289389026165009,0.027441166959473136,30
30,0.6397900295257568,0.025543600891384292,31
31,0.6481431114673615,0.02433027813310256,32
32,0.6527280747890473,0.021445031636810413,33
33,0.6572176349163056,0.02433061410980463,34
34,0.6611584401130677,0.022786569116847198,35
35,0.6734019958972931,0.01913616303136788,36
36,0.6747258150577545,0.020746283524426295,37
37,0.6854882204532623,0.021936285341985377,38
38,0.6876321411132813,0.02217096630899945,39
39,0.6889165830612183,0.022660101775207418,40
40,0.6960096597671509,0.020130824058516746,41
41,0.7014870488643646,0.014554215056050231,42
42,0.7029004740715027,0.020889829839109086,43
43,0.7024900925159454,0.01943828409735246,44
44,0.7106160771846771,0.015450265605615165,45
45,0.7150938165187836,0.01845245925632309,46
46,0.7134703373908997,0.021715084768136664,47
47,0.7130782198905945,0.01733668448178258,48
48,0.7166545939445496,0.018212395744502567,49
49,0.7203941249847412,0.01694210767549007,50
50,0.7247381281852722,0.016758800158887806,51
51,0.7273887372016907,0.015073448058807669,52
52,0.7263390934467315,0.01708487050860206,53
53,0.7305746734142303,0.01629786665717905,54
54,0.7334870171546936,0.01726064489439522,55
55,0.7374999272823334,0.013611845594038639,56
56,0.7397663593292236,0.01354435820979031,57
57,0.7439963114261627,0.011848416535299808,58
58,0.7412211525440217,0.011917603844640717,59
59,0.7442234182357788,0.014171019530313005,60
60,0.7469906771183014,0.01255431031681639,61
61,0.7483544540405274,0.014411706499666478,62
62,0.7489533650875092,0.012409925711882373,63
63,0.7479242765903473,0.013775381686789144,64
64,0.7559944367408753,0.008737399004453363,65
65,0.7540894055366516,0.010780428236957415,66
66,0.7533269321918488,0.012647135819191734,67
67,0.7545408093929291,0.012696517758012745,68
68,0.7591046845912933,0.010698256242341862,69
69,0.7579172646999359,0.012450613958571841,70
70,0.7583551895618439,0.01198957176303817,71
71,0.7613407075405121,0.009083494435084922,72
72,0.7634255170822144,0.008714682801496903,73
73,0.7647260904312134,0.009523070734960185,74
74,0.7657356905937195,0.010396003222154929,75
75,0.7647177112102509,0.010920243196241226,76
76,0.7653570103645325,0.009879580624332432,77
77,0.7689941501617432,0.009975409104834777,78
78,0.7691679131984711,0.009466007295242313,79
79,0.7685764980316162,0.010357466462418544,80
80,0.7710413253307342,0.008728924576931748,81
81,0.7737102425098419,0.008889004841904406,82
82,0.7737838709354401,0.0094377980571406,83
83,0.7742094254493713,0.008280169908346482,84
84,0.7751978242397308,0.009234864960813233,85
85,0.775695585012436,0.008725150689746304,86
86,0.779313646554947,0.006818997997550398,87
87,0.7796367263793945,0.006359158554538596,88
88,0.7789280903339386,0.007742150261401452,89
89,0.780988734960556,0.005470920519401881,90
90,0.7832442772388458,0.005052217603122984,91
91,0.7804480159282684,0.009444737972491839,92
92,0.7847495710849762,0.005562062730206753,93
93,0.7829463696479797,0.008145664431088303,94
94,0.7830387961864471,0.008658774236856584,95
95,0.7860068202018737,0.006166932996637792,96
96,0.7860609447956085,0.007067758212841029,97
97,0.7871244728565217,0.007468327356114516,98
98,0.788952590227127,0.004480796987593452,99
